name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M507T935_NEG,506.99072,934.683,isotopeAnnotation,C00002,M506T935_NEG,C00002,ATP,[M+1],M-H,C10H16N5O13P3,0.985837584484819,C00286_2,grade1
M507T935_NEG,506.99072,934.683,isotopeAnnotation,C00286,M506T935_NEG,C00286,dGTP,[M+1],M-H,C10H16N5O13P3,0.985837584484819,C00002_2,grade1
M506T935_NEG,505.9862,934.6460000000001,seed,NA,NA,C00002,ATP,[M],M-H,C10H16N5O13P3,0.770101242148597,C00286_2,grade1
M506T935_NEG,505.9862,934.6460000000001,seed,NA,NA,C00286,dGTP,[M],M-H,C10H16N5O13P3,0.761208362474905,C00002_2,grade1
M528T935_NEG,527.96141,934.6805,metAnnotation,C00020,M346T812_NEG,C00002,ATP,[M],M-2H+Na,C10H16N5O13P3,0.770066142878924,C00286_2,grade1
M528T935_NEG,527.96141,934.6805,metAnnotation,C00362,M346T812_NEG,C00286,dGTP,[M],M-2H+Na,C10H16N5O13P3,0.766931766813986,C00002_2,grade1
M508T935_NEG,507.99170999999996,934.797,isotopeAnnotation,C00002,M506T935_NEG,C00002,ATP,[M+2],M-H,C10H16N5O13P3,0.95002109171102,C00286_2,grade1
M508T935_NEG,507.99170999999996,934.797,isotopeAnnotation,C00286,M506T935_NEG,C00286,dGTP,[M+2],M-H,C10H16N5O13P3,0.95002109171102,C00002_2,grade1
M685T876_NEG,685.10241,875.6239999999999,metAnnotation,C00020,M346T812_NEG,C00003,NAD+,[M],M-2H+Na,C21H28N7O14P2,0.626428088,C00003_4,grade2
M680T827_NEG,680.12098,826.8760000000001,metAnnotation,C00301,M540T818_NEG,C00003,NAD+,[M],M-H+NH3,C21H28N7O14P2,0.478675388,C00003_2,grade2
M681T827_NEG,681.12775,826.954,isotopeAnnotation,C00003,M680T827_NEG,C00003,NAD+,[M+1],M-H+NH3,C21H28N7O14P2,0.706325652,C00003_2,grade2
M686T876_NEG,686.10032,875.703,isotopeAnnotation,C00003,M685T876_NEG,C00003,NAD+,[M+1],M-2H+Na,C21H28N7O14P2,0.818117895,C00003_4,grade2
M705T813_NEG,705.12954,813.4019999999999,metAnnotation,C00020,M693T813_NEG,C00004,NADH,[M],M-H+CH3CN,C21H29N7O14P2,0.780432472,C00004_1,grade4
M717T838_NEG,717.12034,838.2489999999999,adductAnnotation,C00004,M686T836_NEG,C00004,NADH,[M],M+Cl+NH3,C21H29N7O14P2,0.584555891,C00004_3,grade4
M686T836_NEG,686.08577,835.784,metAnnotation,C00020,M346T771_NEG,C00004,NADH,[M],M-2H+Na,C21H29N7O14P2,0.574332268,C00004_2,grade4
M744T910_NEG,744.0846,910.0269999999999,seed,NA,NA,C00005,NADPH,[M],M-H,C21H30N7O17P3,0.810061784,C00005_1,grade1
M383T828_NEG,382.54944,828.25,adductAnnotation,C00010,M766T828_NEG,C00010,CoA,[M],M-2H,C21H36N7O16P3S,0.9655004,C00010_1,grade1
M766T828_NEG,766.10657,828.145,seed,NA,NA,C00010,CoA,[M],M-H,C21H36N7O16P3S,0.923798295,C00010_1,grade1
M403T951_NEG,402.99465,950.7195,seed,NA,NA,C00015,UDP,[M],M-H,C9H14N2O12P2,0.592609054,C00015_11,grade1
M385T819_NEG,384.97472999999997,819.4689999999999,metAnnotation,C01346,M193T819_NEG,C00015,UDP,[M],M-H-H2O,C9H14N2O12P2,0.804616178,C00015_3,grade2
M445T811_NEG,445.02443,810.9989999999999,isotopeAnnotation,C00015,M444T811_NEG,C00015,UDP,[M+1],M-H+CH3CN,C9H14N2O12P2,0.976383411,C00015_1,grade2
M444T811_NEG,444.02123,810.9989999999999,metAnnotation,C01346,M193T819_NEG,C00015,UDP,[M],M-H+CH3CN,C9H14N2O12P2,0.912126099,C00015_1,grade2
M404T951_NEG,403.99638,951.047,isotopeAnnotation,C00015,M403T951_NEG,C00015,UDP,[M+1],M-H,C9H14N2O12P2,0.901494281,C00015_11,grade1
M403T896_NEG,402.99331,896.003,seed,NA,NA,C00015,UDP,[M],M-H,C9H14N2O12P2,0.793696413,C00015_9,grade1
