"name","mz","rt","Annotation.type","annotated.from.ID","annotated.from.peak","ID","compound.name","isotope","adduct","Formula","score","peak.group","confidence"
"M179T492_NEG",179.0555,492.2985,"metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;metAnnotation;metAnnotation","C16884;C21286;C03659;C00691;C20251;C00273;C00795;C00095;C00764;C00794;C05401;C00124;C00984;C00095;C00095;C00095;C00267;C00159;C02991;C06159;C03827;C02962;C01115;C00089;C20799;C02727;C00256;C00186;C00184;C00577;C02426;C01013;C05380;C16623","M143T552_NEG;M240T736_NEG;M193T350_NEG;M237T427_NEG;M237T427_NEG;M237T427_NEG;M89T494_NEG;M220T478_NEG;M220T478_NEG;M234T493_NEG;M253T588_NEG;M89T494_NEG;M89T494_NEG;M220T478_NEG;M220T478_NEG;M220T478_NEG;M220T478_NEG;M89T494_NEG;M143T552_NEG;M143T552_NEG;M143T552_NEG;M241T620_NEG;M237T427_NEG;M363T610_NEG;M469T659_NEG;M93T700_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M220T499_NEG;M220T499_NEG","C02022;C02045;C00137;C06153;C19891;C10906;C00764;C06468;C00795;C00247;C01582;C00984;C00124;C00031;C00159;C00267;C00221;C00095;C01934;C01680;C01720;C01487;C01825;C02336;C06809;C04092;C00256;C00186;C00184;C00577;C02426;C01013;C16623;C05380","D-Erythrulose;L-Erythrulose;myo-Inositol;scyllo-Inositol;1D-chiro-Inositol;D-Fructose;D-Sorbose;D-Psicose;D-Tagatose;L-Sorbose;Galactose;alpha-D-Galactose;D-Galactose;D-Glucose;D-Mannose;alpha-D-Glucose;beta-D-Glucose;D-Fructose;L-Rhamnonate;D-Fuconate;L-Fuconate;D-Allose;L-Galactose;beta-D-Fructose;Acetylcysteine;delta1-Piperideine-2-carboxylate;(R)-Lactate;(S)-Lactate;Glycerone;D-Glyceraldehyde;L-Glyceraldehyde;3-Hydroxypropanoate;Isonicotinylglycine;Nicotinurate","[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M]","M+CH3COO;M+CH3COO;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H+NH3;M+Cl+NH3;2M-H;2M-H;2M-H;2M-H;2M-H;2M-H;M-H;M-H","C4H8O4;C4H8O4;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C5H9NO3S;C6H9NO2;C3H6O3;C3H6O3;C3H6O3;C3H6O3;C3H6O3;C3H6O3;C8H8N2O3;C8H8N2O3","0.909611986427713;0.902466934629541;0.900382964717878;0.895955290705861;0.895955290705861;0.858208386254188;0.85227337174435;0.849486417225425;0.849486417225425;0.845128319946178;0.81516811861307;0.798191242704867;0.798191242704867;0.795404288185942;0.795404288185942;0.795404288185942;0.795404288185942;0.794434602277109;0.7924786152731;0.7924786152731;0.7924786152731;0.791046190906694;0.791046190906694;0.787289550478936;0.717774144309374;0.680373424613204;0.652758416666652;0.652758416666652;0.652758416666652;0.652758416666652;0.652758416666652;0.652758416666652;0.573708534800745;0.573708534800745","C02022_6;C02045_6;C00186_3;C00184_3;C00577_3;C02426_3;C00256_3;C01013_1;C00795_6;C00124_7;C00031_7;C00159_7;C00095_7;C00267_7;C02336_6;C00984_7;C00221_7;C01825_7;C05380_3;C16623_3;C00137_5;C00764_5;C10906_5;C06468_5;C00247_5;C01934_3;C01720_3;C01582_3;C06153_5;C01680_3;C19891_4;C01487_4;C06809_1;C04092_1","grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2"
"M120T551_NEG",120.03809,551.4045,"isotopeAnnotation;isotopeAnnotation;adductAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation","C02022;C02045;C01010;C00086;C02193;C20249;C11822;C19568","M119T552_1_NEG;M119T552_1_NEG;M163T552_NEG;M119T552_1_NEG;M119T552_1_NEG;M119T552_1_NEG;M119T552_1_NEG;M119T552_1_NEG","C02022;C02045;C01010;C00086;C02193;C20249;C11822;C19568","D-Erythrulose;L-Erythrulose;Urea-1-carboxylate;Urea;Pyruvate oxime;(Z)-3-Peroxyaminoacrylate;2-Aminomalonate semialdehyde;N-Nitrosomethanamine","[M+1];[M+1];[M];[M+1];[M+1];[M+1];[M+1];[M+1]","M-H;M-H;M-H+NH3;M+CH3COO;M-H+NH3;M-H+NH3;M-H+NH3;M+CH3COO","C4H8O4;C4H8O4;C2H4N2O3;CH4N2O;C3H5NO3;C3H5NO3;C3H5NO3;CH4N2O","0.923618660997214;0.923618660997214;0.787694699999965;0.487259633859776;0.487259633859776;0.487259633859776;0.487259633859776;0.487259633859776","C02022_11;C02045_9;C00086_2;C19568_2;C02193_4;C11822_1;C20249_2;C01010_2","grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2"
"M239T567_NEG",239.07628,567.203,"adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;adductAnnotation;metAnnotation;metAnnotation;adductAnnotation;metAnnotation","C02022;C10906;C00137;C01934;C01720;C01582;C06153;C01680;C19891;C01028;C04650;C04210;C14098","M119T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M179T567_NEG;M197T715_NEG;M197T715_NEG;M225T567_2_NEG;M177T195_NEG","C02022;C10906;C00137;C01934;C01720;C01582;C06153;C01680;C19891;C03955;C17952;C04210;C14115","D-Erythrulose;D-Fructose;myo-Inositol;L-Rhamnonate;L-Fuconate;Galactose;scyllo-Inositol;D-Fuconate;1D-chiro-Inositol;N6-Acetyl-N6-hydroxy-L-lysine;N-Acetylphosphinothricin;N5-(L-1-Carboxyethyl)-L-ornithine;2-Naphtylmethylsuccinic acid","[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M]","2M-H;M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO;M+CH3COO;M+Cl;M-H+NH3;M+Cl;M-H-H2O","C4H8O4;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C8H16N2O4;C7H14NO5P;C8H16N2O4;C15H14O4","0.979371749999757;0.970288416666411;0.970288416666411;0.970288416666411;0.970288416666411;0.970288416666411;0.970288416666411;0.970288416666411;0.970288416666411;0.787187844711186;0.770812792963608;0.734009800000138;0.539061483637765","C02022_13;C00137_11;C10906_11;C01934_9;C01720_9;C01582_9;C06153_10;C01680_9;C19891_10;C14115_5;C04210_5;C03955_4;C17952_2","grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2"
"M179T522_NEG",179.0551,521.806,"metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation","C16884;C00089;C05401;C06153;C19891;C02991;C06159;C03827;C00095;C00764;C00795;C00794;C20251;C00124;C00095;C00095;C00095;C00267;C00984;C02962;C15926","M143T552_NEG;M363T610_NEG;M253T588_NEG;M89T494_NEG;M89T494_NEG;M143T552_NEG;M143T552_NEG;M143T552_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M181T733_NEG;M215T547_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M89T494_NEG;M319T888_NEG;M319T888_NEG","C02022;C10906;C01582;C00137;C06153;C01934;C01680;C01720;C06468;C00795;C00764;C00247;C19891;C00984;C00031;C00159;C00267;C00221;C00124;C01487;C01825","D-Erythrulose;D-Fructose;Galactose;myo-Inositol;scyllo-Inositol;L-Rhamnonate;D-Fuconate;L-Fuconate;D-Psicose;D-Tagatose;D-Sorbose;L-Sorbose;1D-chiro-Inositol;alpha-D-Galactose;D-Glucose;D-Mannose;alpha-D-Glucose;beta-D-Glucose;D-Galactose;D-Allose;L-Galactose","[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M];[M]","M+CH3COO;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H;M-H","C4H8O4;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6;C6H12O6","0.944292658363618;0.891333273857832;0.84246684959207;0.838278861275273;0.838278861275273;0.820923711233585;0.820923711233585;0.820923711233585;0.784405411926499;0.784405411926499;0.784405411926499;0.777572163989359;0.756644765380056;0.727081695877035;0.727081695877035;0.727081695877035;0.727081695877035;0.727081695877035;0.727081695877035;0.720248447939895;0.720248447939895","C02022_9;C00795_10;C00124_10;C00031_10;C00159_10;C00267_10;C00984_10;C00221_10;C01825_10;C00137_9;C00764_9;C10906_9;C06468_9;C00247_9;C01934_6;C01720_6;C01582_6;C06153_8;C01680_6;C19891_8;C01487_8","grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3;grade3"
"M204T284_NEG",204.06778,284.47,"seed",NA,NA,"C02043","Indolelactate","[M]","M-H","C11H11NO3","0.83029492","C02043_2","grade1"
"M204T263_NEG",204.06754,262.541,"seed",NA,NA,"C02043","Indolelactate","[M]","M-H","C11H11NO3","0.720197002","C02043_1","grade1"
"M205T285_NEG",205.06891,284.524,"isotopeAnnotation","C02043","M204T284_NEG","C02043","Indolelactate","[M+1]","M-H","C11H11NO3","0.966421587","C02043_2","grade1"
"M348T307_2_NEG",348.17857,306.709,"adductAnnotation","C02046","M270T304_NEG","C02046","L-Hyoscyamine","[M]","M+CH3COO","C17H23NO3","0.415263567","C02046_3","grade3"
"M324T270_NEG",324.13981,269.526,"metAnnotation;metAnnotation","C03325;C01456","M340T401_NEG;M206T253_NEG","C02046;C01479","L-Hyoscyamine;Atropine","[M];[M]","M+Cl;M+Cl","C17H23NO3;C17H23NO3","0.703042122630399;0.321341084452116","C02046_1;C01479_1","grade3;grade3"
"M243T447_NEG",243.06319,447.272,"seed",NA,NA,"C02067","Pseudouridine","[M]","M-H","C9H12N2O6","0.687424396","C02067_1","grade1"
