name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M507T935_NEG,506.99072,934.683,isotopeAnnotation,C00002,M506T935_NEG,C00002,ATP,[M+1],M-H,C10H16N5O13P3,0.9858375844848191,C00286_2,grade1
M507T935_NEG,506.99072,934.683,isotopeAnnotation,C00286,M506T935_NEG,C00286,dGTP,[M+1],M-H,C10H16N5O13P3,0.9858375844848191,C00002_2,grade1
M506T935_NEG,505.9862,934.646,seed,,,C00002,ATP,[M],M-H,C10H16N5O13P3,0.7701012421485971,C00286_2,grade1
M506T935_NEG,505.9862,934.646,seed,,,C00286,dGTP,[M],M-H,C10H16N5O13P3,0.7612083624749051,C00002_2,grade1
M528T935_NEG,527.96141,934.6805,metAnnotation,C00020,M346T812_NEG,C00002,ATP,[M],M-2H+Na,C10H16N5O13P3,0.770066142878924,C00286_2,grade1
M528T935_NEG,527.96141,934.6805,metAnnotation,C00362,M346T812_NEG,C00286,dGTP,[M],M-2H+Na,C10H16N5O13P3,0.766931766813986,C00002_2,grade1
M508T935_NEG,507.99171,934.797,isotopeAnnotation,C00002,M506T935_NEG,C00002,ATP,[M+2],M-H,C10H16N5O13P3,0.95002109171102,C00286_2,grade1
M508T935_NEG,507.99171,934.797,isotopeAnnotation,C00286,M506T935_NEG,C00286,dGTP,[M+2],M-H,C10H16N5O13P3,0.95002109171102,C00002_2,grade1
M744T910_NEG,744.0846,910.027,seed,,,C00005,NADPH,[M],M-H,C21H30N7O17P3,0.8100617840000001,C00005_1,grade1
M383T828_NEG,382.54944,828.25,adductAnnotation,C00010,M766T828_NEG,C00010,CoA,[M],M-2H,C21H36N7O16P3S,0.9655004,C00010_1,grade1
M766T828_NEG,766.10657,828.145,seed,,,C00010,CoA,[M],M-H,C21H36N7O16P3S,0.923798295,C00010_1,grade1
M403T951_NEG,402.99465,950.7195,seed,,,C00015,UDP,[M],M-H,C9H14N2O12P2,0.592609054,C00015_11,grade1
M404T951_NEG,403.99638,951.047,isotopeAnnotation,C00015,M403T951_NEG,C00015,UDP,[M+1],M-H,C9H14N2O12P2,0.901494281,C00015_11,grade1
M403T896_NEG,402.99331,896.003,seed,,,C00015,UDP,[M],M-H,C9H14N2O12P2,0.7936964129999999,C00015_9,grade1
M404T896_NEG,403.99654,896.1139999999998,isotopeAnnotation,C00015,M403T896_NEG,C00015,UDP,[M+1],M-H,C9H14N2O12P2,0.94103462,C00015_9,grade1
M421T868_NEG,421.02246,868.3560000000001,isotopeAnnotation,C01103,M420T868_NEG,C01103,Orotidine 5'-phosphate,[M+1],M+Cl+NH3,C10H13N2O11P,0.840679132615403,C01103_2,grade2
M420T868_NEG,420.0195,867.7665,metAnnotation,C00105,M323T835_NEG,C01103,Orotidine 5'-phosphate,[M],M+Cl+NH3,C10H13N2O11P,0.9074772107235609,C01103_2,grade2
M422T868_NEG,422.02449,868.0,isotopeAnnotation,C01103,M420T868_NEG,C01103,Orotidine 5'-phosphate,[M+2],M+Cl+NH3,C10H13N2O11P,0.7039175554898991,C01103_2,grade2
M306T517_NEG,306.03166,517.1725,adductAnnotation,C00018,M246T517_NEG,C00018,Pyridoxal phosphate,[M],M+CH3COO,C8H10NO6P,0.6771584829999999,C00018_1,grade2
M246T517_NEG,246.01263,517.244,adductAnnotation,C00018,M306T517_NEG,C00018,Pyridoxal phosphate,[M],M-H,C8H10NO6P,0.7821284829999999,C00018_1,grade2
M307T517_NEG,307.03554,516.964,isotopeAnnotation,C00018,M306T517_NEG,C00018,Pyridoxal phosphate,[M+1],M+CH3COO,C8H10NO6P,0.716575465,C00018_1,grade2
M328T607_NEG,328.037,607.281,adductAnnotation,C00020,M363T610_NEG,C00020,AMP,[M],M-H-H2O,C10H14N5O7P,0.180324583,C00020_1,grade1
M384T813_NEG,384.00977,813.419,metAnnotation,C00117,M211T833_NEG,C00020,AMP,[M],M-2H+K,C10H14N5O7P,0.9347555669530601,C00362_8,grade1
M384T813_NEG,384.00977,813.419,metAnnotation,C00330,M326T312_NEG,C00362,dGMP,[M],M-2H+K,C10H14N5O7P,0.886884837070306,C00020_8,grade1
M368T813_NEG,368.03606,812.86,metAnnotation,C00117,M211T833_NEG,C00020,AMP,[M],M-2H+Na,C10H14N5O7P,0.9399444572475959,C00362_8,grade1
M368T813_NEG,368.03606,812.86,seed,,,C00362,dGMP,[M],M+Na-2H,C10H14N5O7P,0.916672509836023,C00020_8,grade1
M405T714_NEG,405.09458,714.2855,seed,,,C00021,S-Adenosyl-L-homocysteine,[M],M+Na-2H,C14H20N6O5S,0.8865767640000001,C00021_3,grade1
M444T84_1_NEG,444.1442,84.4905,isotopeAnnotation,C00021,M443T85_NEG,C00021,S-Adenosyl-L-homocysteine,[M+1],M+CH3COO,C14H20N6O5S,0.6963330179999999,C00021_1,grade1
M383T714_NEG,383.11332,714.203,adductAnnotation,C00021,M405T714_NEG,C00021,S-Adenosyl-L-homocysteine,[M],M-H,C14H20N6O5S,0.96407365,C00021_3,grade1
M385T714_NEG,385.11113,714.3395,isotopeAnnotation,C00021,M383T714_NEG,C00021,S-Adenosyl-L-homocysteine,[M+2],M-H,C14H20N6O5S,0.8932083540000001,C00021_3,grade1
M384T714_NEG,384.11631,714.221,isotopeAnnotation,C00021,M383T714_NEG,C00021,S-Adenosyl-L-homocysteine,[M+1],M-H,C14H20N6O5S,0.994186958,C00021_3,grade1
M445T87_NEG,445.13601,86.581,isotopeAnnotation,C00021,M443T85_NEG,C00021,S-Adenosyl-L-homocysteine,[M+2],M+CH3COO,C14H20N6O5S,0.639290296,C00021_1,grade1
M443T85_NEG,443.14441,84.698,seed,,,C00021,S-Adenosyl-L-homocysteine,[M],M+CH3COO,C14H20N6O5S,0.9239025009999999,C00021_1,grade1
M365T86_NEG,365.11263,85.95299999999997,adductAnnotation,C00021,M443T85_NEG,C00021,S-Adenosyl-L-homocysteine,[M],M-H-H2O,C14H20N6O5S,0.319274683,C00021_1,grade1
M405T853_NEG,405.0997,853.326,adductAnnotation,C14862,M381T852_NEG,C14862,2-S-Glutathionyl acetate,[M],M-H+CH3CN,C12H19N3O8S,0.39568123288151397,C14862_3,grade2
M444T855_NEG,444.14165,855.0239999999999,isotopeAnnotation,C20995,M443T855_NEG,C20995,gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide,[M+1],M-H-H2O,C17H28N5O8S,0.583677390720199,C00021_6,grade2
M443T855_NEG,443.1385,855.4475,metAnnotation,C00624,M210T732_NEG,C20995,gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide,[M],M-H-H2O,C17H28N5O8S,0.46782041310971506,C00021_6,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C00979,M128T694_1_NEG,C00979,O-Acetyl-L-serine,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C03618_8,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C00217,M128T694_1_NEG,C00217,D-Glutamate,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C05574_7,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C03618,M128T694_1_NEG,C03618,L-threo-3-Methylaspartate,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C05941_8,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C05574,M128T694_1_NEG,C05574,3-Aminopentanedioate,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C03790_8,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C04282,M128T694_1_NEG,C04282,1-Pyrroline-4-hydroxy-2-carboxylate,[M+1],M-H,C5H7NO3,0.9602626972891178,C05938_8,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C05941,M128T694_1_NEG,C05941,2-Oxo-4-hydroxy-5-aminovalerate,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C00025_7,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C03790,M128T694_1_NEG,C03790,N-(Carboxymethyl)-D-alanine,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C00217_6,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C00302,M128T694_1_NEG,C00302,Glutamate,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C00302_6,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C05938,M128T694_1_NEG,C05938,L-4-Hydroxyglutamate semialdehyde,[M+1],M-H-H2O,C5H9NO4,0.9602626972891178,C01877_6,grade2
M129T694_1_NEG,129.03859,693.712,isotopeAnnotation,C01877,M128T694_1_NEG,C01877,4-Oxoproline,[M+1],M-H,C5H7NO3,0.9602626972891178,C04282_6,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C00979,M146T746_NEG,C00979,O-Acetyl-L-serine,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C00217_8,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C03790,M146T746_NEG,C03790,N-(Carboxymethyl)-D-alanine,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C00302_8,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C03618,M146T746_NEG,C03618,L-threo-3-Methylaspartate,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C00979_11,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C00217,M146T746_NEG,C00217,D-Glutamate,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C03618_11,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C05574,M146T746_NEG,C05574,3-Aminopentanedioate,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C05574_10,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C05941,M146T746_NEG,C05941,2-Oxo-4-hydroxy-5-aminovalerate,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C05941_11,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C00302,M146T746_NEG,C00302,Glutamate,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C03790_11,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C05938,M146T746_NEG,C05938,L-4-Hydroxyglutamate semialdehyde,[M],M-2H+Na,C5H9NO4,0.9821066833342801,C05938_11,grade2
M168T747_NEG,168.02755,746.523,adductAnnotation,C01215,M208T746_NEG,C01215,2-(Acetamidomethylene)succinate,[M],M-H-H2O,C7H9NO5,0.7912800666663121,C01215_5,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C03618,M184T746_2_NEG,C03618,L-threo-3-Methylaspartate,[M],2M-H,C5H9NO4,0.9768013833348729,C03618_10,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C00979,M184T746_2_NEG,C00979,O-Acetyl-L-serine,[M],2M-H,C5H9NO4,0.9768013833348729,C05574_9,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C03790,M184T746_2_NEG,C03790,N-(Carboxymethyl)-D-alanine,[M],2M-H,C5H9NO4,0.9768013833348729,C05941_10,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C00217,M184T746_2_NEG,C00217,D-Glutamate,[M],2M-H,C5H9NO4,0.9768013833348729,C03790_10,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C05574,M184T746_2_NEG,C05574,3-Aminopentanedioate,[M],2M-H,C5H9NO4,0.9768013833348729,C05938_10,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C05938,M184T746_2_NEG,C05938,L-4-Hydroxyglutamate semialdehyde,[M],2M-H,C5H9NO4,0.9768013833348729,C00025_10,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C05941,M184T746_2_NEG,C05941,2-Oxo-4-hydroxy-5-aminovalerate,[M],2M-H,C5H9NO4,0.9768013833348729,C00217_8,grade2
M293T746_NEG,293.09825,745.926,adductAnnotation,C00302,M184T746_2_NEG,C00302,Glutamate,[M],2M-H,C5H9NO4,0.9768013833348729,C00302_8,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C03618,M293T746_NEG,C03618,L-threo-3-Methylaspartate,[M+1],2M-H,C5H9NO4,0.9237710884555791,C03618_10,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C00979,M293T746_NEG,C00979,O-Acetyl-L-serine,[M+1],2M-H,C5H9NO4,0.9237710884555791,C05574_9,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C03790,M293T746_NEG,C03790,N-(Carboxymethyl)-D-alanine,[M+1],2M-H,C5H9NO4,0.9237710884555791,C05941_10,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C00217,M293T746_NEG,C00217,D-Glutamate,[M+1],2M-H,C5H9NO4,0.9237710884555791,C03790_10,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C05574,M293T746_NEG,C05574,3-Aminopentanedioate,[M+1],2M-H,C5H9NO4,0.9237710884555791,C05938_10,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C05938,M293T746_NEG,C05938,L-4-Hydroxyglutamate semialdehyde,[M+1],2M-H,C5H9NO4,0.9237710884555791,C00025_10,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C05941,M293T746_NEG,C05941,2-Oxo-4-hydroxy-5-aminovalerate,[M+1],2M-H,C5H9NO4,0.9237710884555791,C00217_8,grade2
M294T746_NEG,294.10304,745.9860000000001,isotopeAnnotation,C00302,M293T746_NEG,C00302,Glutamate,[M+1],2M-H,C5H9NO4,0.9237710884555791,C00302_8,grade2
