name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M510T934_POS,510.00825,934.028,isotopeAnnotation,C00002,M508T934_POS,C00002,ATP,[M+2],M+H,C10H16N5O13P3,0.981534972,C00002_1,grade1
M509T934_POS,509.00593,933.9785,isotopeAnnotation;isotopeAnnotation,C00002;C00053,M508T934_POS;M508T934_POS,C00002;C00053,ATP;3'-Phosphoadenylyl sulfate,[M+1];[M+1],M+H;M+H,C10H16N5O13P3;C10H15N5O13P2S,0.990854602986;0.663619866502,C00002_1;C00053_1,grade1;grade1
M528T935_NEG,527.96141,934.6805,metAnnotation;metAnnotation,C00020;C00362,M346T812_NEG;M346T812_NEG,C00002;C00286,ATP;dGTP,[M];[M],M-2H+Na;M-2H+Na,C10H16N5O13P3;C10H16N5O13P3,0.770066142879;0.766931766814,C00286_2;C00002_2,grade1;grade1
M507T935_NEG,506.99072,934.683,isotopeAnnotation;isotopeAnnotation,C00002;C00286,M506T935_NEG;M506T935_NEG,C00002;C00286,ATP;dGTP,[M+1];[M+1],M-H;M-H,C10H16N5O13P3;C10H16N5O13P3,0.985837584485;0.985837584485,C00286_2;C00002_2,grade1;grade1
M508T935_NEG,507.99170999999996,934.797,isotopeAnnotation;isotopeAnnotation,C00002;C00286,M506T935_NEG;M506T935_NEG,C00002;C00286,ATP;dGTP,[M+2];[M+2],M-H;M-H,C10H16N5O13P3;C10H16N5O13P3,0.950021091711;0.950021091711,C00286_2;C00002_2,grade1;grade1
M506T935_NEG,505.9862,934.6460000000001,seed;seed,nan;nan,nan;nan,C00002;C00286,ATP;dGTP,[M];[M],M-H;M-H,C10H16N5O13P3;C10H16N5O13P3,0.770101242149;0.761208362475,C00286_2;C00002_2,grade1;grade1
M687T825_POS,687.0946799999998,824.6289999999997,isotopeAnnotation,C00003,M686T825_POS,C00003,NAD+,[M+1],M+Na,C21H27N7O14P2,0.798325485,C00003_1,grade1
M686T825_POS,686.10083,824.5415,adductAnnotation,C00003,M664T824_POS,C00003,NAD+,[M],M+Na,C21H27N7O14P2,0.857795682,C00003_1,grade1
M664T824_POS,664.11911,824.0275,seed,nan,nan,C00003,NAD+,[M],M+H,C21H27N7O14P2,0.787788227,C00003_1,grade1
M665T824_POS,665.1222799999998,824.072,isotopeAnnotation,C00003,M664T824_POS,C00003,NAD+,[M+1],M+H,C21H27N7O14P2,0.924162969,C00003_1,grade1
M689T836_POS,689.10654,835.9110000000003,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;isotopeAnnotation,C00004;C20744;C21423;C21424;C00857,M688T836_POS;M688T836_POS;M688T836_POS;M688T836_POS;M688T836_POS,C00004;C20744;C21423;C21424;C00857,"NADH;alpha-NADH;1,2-Dihydro-beta-NAD;1,6-Dihydro-beta-NAD;Deamino-NAD+",[M+1];[M+1];[M+1];[M+1];[M+1],M+Na;M+Na;M+Na;M+Na;M+Na,C21H29N7O14P2;C21H29N7O14P2;C21H29N7O14P2;C21H29N7O14P2;C21H27N6O15P2,0.703342653328;0.703342653328;0.703342653328;0.703342653328;0.648736792768,C00857_3;C00004_1;C20744_1;C21424_1;C21423_1,grade2;grade2;grade2;grade2;grade2
